Date,SP500,VIXCLS,T10Y2Y,T5YIFR,WLEMUINDXD,Close_AAPL,Volume_AAPL,HighLow_Spread_AAPL,Close_MSFT,Volume_MSFT,HighLow_Spread_MSFT,Close_GOOG,Volume_GOOG,HighLow_Spread_GOOG,Close_AMZN,Volume_AMZN,HighLow_Spread_AMZN,Close_NVDA,Volume_NVDA,HighLow_Spread_NVDA,Close_META,Volume_META,HighLow_Spread_META,Close_TSLA,Volume_TSLA,HighLow_Spread_TSLA,Close_BRK-B,Volume_BRK-B,HighLow_Spread_BRK-B,Close_JPM,Volume_JPM,HighLow_Spread_JPM,Close_WMT,Volume_WMT,HighLow_Spread_WMT
2015-07-13,2099.6,13.9,1.75,2.16,26.25,31.41500092,165762000.0,0.36000061,45.54000092,28178300.0,0.669998169,27.32749939,44130000.0,0.735498428,22.7784996,79136000.0,0.516498566,0.497000009,212472000.0,0.005999982,90.09999847,29976700.0,1.800003052,17.47733307,44404500.0,0.433332443,141.3899994,3139800.0,1.040008545,68.08999634,16175600.0,0.459999084,24.62666702,18253500.0,0.200000763
2015-07-14,2108.95,13.37,1.75,2.15,39.73,31.40250015,127072400.0,0.332500458,45.61999893,22880300.0,0.649997711,28.05500031,64882000.0,0.956949234,23.2784996,94724000.0,0.571998596,0.497249991,249216000.0,0.007499993,89.68000031,26627800.0,1.150001526,17.70999908,28614000.0,0.365335464,141.1199951,2415200.0,0.720001221,69.04000092,20185100.0,1.339996338,24.59666634,16554600.0,0.203332901
2015-07-15,2107.4,13.23,1.72,2.15,16.3,31.70499992,134596800.0,0.392499924,45.75999832,26629600.0,0.459999084,28.01099968,35692000.0,0.485649109,23.05949974,59748000.0,0.225000381,0.493750006,265732000.0,0.00999999,89.76000214,30886600.0,1.569999695,17.54266739,30324000.0,0.360666275,142.6100006,2995300.0,1.440002441,69.19000244,16891600.0,0.580001831,24.54999924,13700100.0,0.236665726
2015-07-16,2124.29,12.11,1.69,2.16,7.27,32.12749863,144889600.0,0.305002213,46.65999985,26271700.0,0.719997406,28.99250031,95366000.0,0.784000397,23.77400017,81912000.0,0.554000854,0.504750013,282848000.0,0.009750009,90.84999847,21804100.0,1.090003967,17.77866745,24240000.0,0.269332886,143.9199982,3179600.0,0.919998169,69.55999756,18035700.0,0.539993286,24.61000061,15695100.0,0.126667023
2015-07-17,2126.64,11.95,1.66,2.16,17.09,32.40499878,184658800.0,0.32749939,46.61999893,29467100.0,0.520000458,33.64649963,223298000.0,1.473400116,24.15049934,98644000.0,0.408500671,0.501749992,220372000.0,0.008249998,94.97000122,54001600.0,2.849998474,18.31066704,75061500.0,0.486000061,143.8800049,2982900.0,0.559997559,69.20999908,14040700.0,0.569999695,24.46333313,17041800.0,0.253334045
2015-07-18,2126.64,11.95,1.66,2.16,17.09,32.40499878,0.0,0.32749939,46.61999893,0.0,0.520000458,33.64649963,0.0,1.473400116,24.15049934,0.0,0.408500671,0.501749992,0.0,0.008249998,94.97000122,0.0,2.849998474,18.31066704,0.0,0.486000061,143.8800049,0.0,0.559997559,69.20999908,0.0,0.569999695,24.46333313,0.0,0.253334045
2015-07-19,2126.64,11.95,1.66,2.16,17.09,32.40499878,0.0,0.32749939,46.61999893,0.0,0.520000458,33.64649963,0.0,1.473400116,24.15049934,0.0,0.408500671,0.501749992,0.0,0.008249998,94.97000122,0.0,2.849998474,18.31066704,0.0,0.486000061,143.8800049,0.0,0.559997559,69.20999908,0.0,0.569999695,24.46333313,0.0,0.253334045
2015-07-20,2128.28,12.25,1.67,2.15,27.18,33.01750183,235600800.0,0.567501068,46.91999817,30631900.0,0.690002441,33.15100098,117218000.0,0.793498993,24.40500069,95050000.0,0.38999939,0.492500007,188412000.0,0.012500018,97.91000366,54860500.0,3.239997864,18.81733322,74677500.0,0.940668106,144.5099945,2467500.0,0.979995728,69.26000214,11512900.0,0.589996338,24.36666679,15256800.0,0.126667023
2015-07-21,2119.21,12.22,1.64,2.15,19.86,32.6875,307025600.0,0.649997711,47.27999878,42781900.0,0.850002289,33.11500168,67544000.0,0.935001373,24.39999962,63636000.0,0.31649971,0.494749993,149720000.0,0.010250002,98.38999939,39453300.0,2.099998474,17.78466606,91630500.0,0.46333313,143.6000061,3116500.0,1.520004272,69.09999847,11659900.0,0.669998169,24.24666786,19323300.0,0.253334045
2015-07-22,2114.15,12.12,1.58,2.12,24.43,31.30500031,461802400.0,0.877500534,45.54000092,59152400.0,1.729999542,33.10499954,78586000.0,0.981998444,24.41349983,62298000.0,0.379999161,0.485249996,356472000.0,0.011999995,97.04000092,28299500.0,1.660003662,17.8579998,46575000.0,0.572000504,143.5200043,2578000.0,0.940002441,70.08000183,15493000.0,1.090003967,24.38666725,20884800.0,0.346666336
2015-07-23,2102.15,12.64,1.57,2.13,7.38,31.29000092,203998000.0,0.507499695,46.11000061,33934000.0,1.130001068,32.2140007,60582000.0,1.131500244,24.10899925,187488000.0,0.798000336,0.491250008,169916000.0,0.013249993,95.44000244,29418800.0,2.63999939,17.81333351,33408000.0,0.308666229,142.1799927,2322700.0,1.350006104,69.63999939,14331800.0,1.150001526,24.17000008,12758700.0,0.26666832
2015-07-24,2079.65,13.74,1.57,2.12,8.77,31.125,168649200.0,0.459999084,45.93999863,32333200.0,0.520000458,31.1779995,72514000.0,1.282501221,26.47100067,438188000.0,2.560998917,0.485500008,188844000.0,0.011749983,96.94999695,33444900.0,1.880004883,17.69400024,42547500.0,0.477998734,141.25,2363300.0,1.169998169,68.91000366,12413900.0,0.879997253,23.86000061,17853300.0,0.353334427
2015-07-25,2079.65,13.74,1.57,2.12,8.77,31.125,0.0,0.459999084,45.93999863,0.0,0.520000458,31.1779995,0.0,1.282501221,26.47100067,0.0,2.560998917,0.485500008,0.0,0.011749983,96.94999695,0.0,1.880004883,17.69400024,0.0,0.477998734,141.25,0.0,1.169998169,68.91000366,0.0,0.879997253,23.86000061,0.0,0.353334427
